"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","index-egapro.travail.gouv.fr/57.128.91.43","443","INFO","HTTP","",""
"pre_128cipher","index-egapro.travail.gouv.fr/57.128.91.43","443","INFO","No 128 cipher limit bug","",""
"SSLv2","index-egapro.travail.gouv.fr/57.128.91.43","443","OK","not offered","",""
"SSLv3","index-egapro.travail.gouv.fr/57.128.91.43","443","OK","not offered","",""
"TLS1","index-egapro.travail.gouv.fr/57.128.91.43","443","INFO","not offered","",""
"TLS1_1","index-egapro.travail.gouv.fr/57.128.91.43","443","INFO","not offered","",""
"TLS1_2","index-egapro.travail.gouv.fr/57.128.91.43","443","OK","offered","",""
"TLS1_3","index-egapro.travail.gouv.fr/57.128.91.43","443","OK","offered with final","",""
"ALPN_HTTP2","index-egapro.travail.gouv.fr/57.128.91.43","443","OK","h2","",""
"ALPN","index-egapro.travail.gouv.fr/57.128.91.43","443","INFO","http/1.1","",""
"cipherlist_NULL","index-egapro.travail.gouv.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","index-egapro.travail.gouv.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","index-egapro.travail.gouv.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_LOW","index-egapro.travail.gouv.fr/57.128.91.43","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","index-egapro.travail.gouv.fr/57.128.91.43","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","index-egapro.travail.gouv.fr/57.128.91.43","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","index-egapro.travail.gouv.fr/57.128.91.43","443","INFO","not offered","",""
"cipherlist_STRONG_FS","index-egapro.travail.gouv.fr/57.128.91.43","443","OK","offered","",""
"cipher_order-tls1_2","index-egapro.travail.gouv.fr/57.128.91.43","443","OK","server","",""
"cipherorder_TLSv1_2","index-egapro.travail.gouv.fr/57.128.91.43","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","index-egapro.travail.gouv.fr/57.128.91.43","443","OK","server","",""
"FS","index-egapro.travail.gouv.fr/57.128.91.43","443","OK","offered","",""
"FS_ciphers","index-egapro.travail.gouv.fr/57.128.91.43","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","index-egapro.travail.gouv.fr/57.128.91.43","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","index-egapro.travail.gouv.fr/57.128.91.43","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","index-egapro.travail.gouv.fr/57.128.91.43","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","index-egapro.travail.gouv.fr/57.128.91.43","443","INFO","yes","",""
"sessionresumption_ticket","index-egapro.travail.gouv.fr/57.128.91.43","443","INFO","not supported","",""
"sessionresumption_ID","index-egapro.travail.gouv.fr/57.128.91.43","443","INFO","supported","",""
"TLS_timestamp","index-egapro.travail.gouv.fr/57.128.91.43","443","INFO","random","",""
"certificate_compression","index-egapro.travail.gouv.fr/57.128.91.43","443","INFO","none","",""
"clientAuth","index-egapro.travail.gouv.fr/57.128.91.43","443","INFO","none","",""
"cert_numbers","index-egapro.travail.gouv.fr/57.128.91.43","443","INFO","1","",""
"cert_signatureAlgorithm","index-egapro.travail.gouv.fr/57.128.91.43","443","OK","SHA256 with RSA","",""
"cert_keySize","index-egapro.travail.gouv.fr/57.128.91.43","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","index-egapro.travail.gouv.fr/57.128.91.43","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","index-egapro.travail.gouv.fr/57.128.91.43","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","index-egapro.travail.gouv.fr/57.128.91.43","443","INFO","034EF5F60F7B0A8E8505A06DA04CEF4014CD","",""
"cert_serialNumberLen","index-egapro.travail.gouv.fr/57.128.91.43","443","INFO","18","",""
"cert_fingerprintSHA1","index-egapro.travail.gouv.fr/57.128.91.43","443","INFO","CBF5E6B1CD905232EE6175200683A9B81AB27F3C","",""
"cert_fingerprintSHA256","index-egapro.travail.gouv.fr/57.128.91.43","443","INFO","9FD3353A22D198BB23385AEC5E5DA84979A88816DA748A8D9D1DE529421DF30F","",""
